Ecuador,"Age population, age 0, male, interpolated",162571
Ecuador,"Age population, age 01, female, interpolated",155210
Ecuador,"Age population, age 01, male, interpolated",162260
Ecuador,"Age population, age 02, female, interpolated",155809
Ecuador,"Age population, age 02, male, interpolated",162639
"Egypt, Arab Rep.","Age population, age 0, female, interpolated",933147
"Egypt, Arab Rep.","Age population, age 0, male, interpolated",977825
"Egypt, Arab Rep.","Age population, age 01, female, interpolated",922135
"Egypt, Arab Rep.","Age population, age 01, male, interpolated",965807
"Egypt, Arab Rep.","Age population, age 02, female, interpolated",893305
"Egypt, Arab Rep.","Age population, age 02, male, interpolated",935246
El Salvador,"Age population, age 0, female, interpolated",66740
El Salvador,"Age population, age 0, male, interpolated",69727
El Salvador,"Age population, age 01, female, interpolated",65234
El Salvador,"Age population, age 01, male, interpolated",68146
El Salvador,"Age population, age 02, female, interpolated",61701
El Salvador,"Age population, age 02, male, interpolated",64439
Equatorial Guinea,"Age population, age 0, female, interpolated",11846
Equatorial Guinea,"Age population, age 0, male, interpolated",12017
Equatorial Guinea,"Age population, age 01, female, interpolated",11471
Equatorial Guinea,"Age population, age 01, male, interpolated",11646
Equatorial Guinea,"Age population, age 02, female, interpolated",10945
Equatorial Guinea,"Age population, age 02, male, interpolated",11099
Eritrea,"Age population, age 0, female, interpolated",102751
Eritrea,"Age population, age 0, male, interpolated",107730
Eritrea,"Age population, age 01, female, interpolated",100738
Eritrea,"Age population, age 01, male, interpolated",105552
Eritrea,"Age population, age 02, female, interpolated",98866
Eritrea,"Age population, age 02, male, interpolated",103475
Estonia,"Age population, age 0, female, interpolated",7147
Estonia,"Age population, age 0, male, interpolated",7575
Estonia,"Age population, age 01, female, interpolated",7344
Estonia,"Age population, age 01, male, interpolated",7757
Estonia,"Age population, age 02, female, interpolated",7240
Estonia,"Age population, age 02, male, interpolated",7636
Ethiopia,"Age population, age 0, female, interpolated",1413664
Ethiopia,"Age population, age 0, male, interpolated",1459364
Ethiopia,"Age population, age 01, female, interpolated",1389244
Ethiopia,"Age population, age 01, male, interpolated",1432040
Ethiopia,"Age population, age 02, female, interpolated",1373701
Ethiopia,"Age population, age 02, male, interpolated",1412196
Euro area,"Age population, age 0, female, interpolated",
