"","countrycode","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","irrelevantcolumn","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"3810","DOM","Dominican Republic",50,212.5,47.5441382131233,202.062587405774,0.34443557510028,57,2465,-4.91172357375343,0.68887115020056,-0.423424446013228,0.0593854439828069
"3811","DZA","Algeria",72,306,66.4949155671211,282.603391160264,1.11908271753735,4,2922,-7.64595060122075,1.55428155213521,-0.800705299101147,0.16276870463839
"3813","EAS","Eastern Asia",85,361.25,80.2184661529636,340.928481150095,0.517511302322508,59,2879,-5.62533393768988,0.608836826261774,-0.705853381379114,0.0763953815516033
"3814","Eastern Africa","Eastern Africa",53,225.25,50.7254418012282,215.58312765522,0.788324737725501,58,2065,-4.29161924296556,1.48740516551981,-0.468129411369489,0.16224601139629
"3815","Eastern Europe","Eastern Europe",73,310.25,69.2720323951751,294.406137679494,0.730194767801436,60,2947,-5.10680493811632,1.00026680520745,-0.537626817797959,0.105304640758606
"3818","ECU","Ecuador",45,191.25,42.8936759567589,182.298122816225,0.264912298245331,61,2112,-4.68072009609127,0.588693996100736,-0.423857821201448,0.053308582743497
"3819","EGY","Egypt",94,399.5,88.2854397181246,375.213118802029,1.31389505365745,62,3421,-6.07931944880367,1.39776069538027,-0.709935141712092,0.163228704415205
"3821","ERI","Eritrea",46.8,198.9,45.1767579345531,192.001221221851,0.582276945717495,NA,1590,-3.46846595180963,1.24418150794337,-0.433885457745242,0.155640064106878
"3822","ESEASP","ESEASP",59.4996501924348,252.873513317848,56.5910825793544,240.512100962256,0.48311928605071,NA,2604.60806618911,-4.88837766889956,0.811969960307661,-0.474597791355139,0.0788317057130099
"3824","ESP","Spain",82,348.5,79.1049165008274,336.195895128517,0.569896188639033,179,2823,-3.53058963313726,0.69499535199882,-0.435852103134375,0.0857973362279805
"3825","EST","Estonia",67,284.75,63.4322577161805,269.587095293767,0.675351847921455,64,2753,-5.32498848331268,1.00798783271859,-0.550777504766904,0.104258821419041
"3826","ETH","Ethiopia",55,233.75,52.7003283791214,223.976395611266,0.750455040907929,65,2030,-4.18122112887026,1.36446371074169,-0.481458344272621,0.157114971618655
"3827","Europe","Europe",74,314.5,70.4851713976435,299.561978439985,0.652955391610739,66,2978,-4.74976838156278,0.882372150825323,-0.501612543989756,0.0931853732150988
"3828","EUU","European Union",78,331.5,74.4757576357319,316.521969951861,0.653781951406266,67,NA,-4.51825944136934,0.838181988982392,NA,NA
"3829","EUU","European Union",78,331.5,74.4757576357319,316.521969951861,0.653781951406266,67,3003,-4.51825944136934,0.838181988982392,-0.49876889937194,0.0925265831993549
"3833","FIN","Finland",79,335.75,75.5249087888882,320.980862352775,0.580848424539534,69,2730,-4.39884963431879,0.735251170303208,-0.540994053011917,0.0904251210363744
"3834","FJI","Fiji",66,280.5,63.3004049564444,269.026721064889,0.697570272738404,68,2814,-4.09029552053876,1.05692465566425,-0.407721355192295,0.105354429962268
"3836","FRA","France",81,344.25,77.7445016921864,330.414132191792,0.675712402256268,70,3074,-4.0191337133501,0.834212842291689,-0.450093292394525,0.0934215260113578
"3839","FSM","Micronesia",71,301.75,68.5069403010459,291.154496279445,0.382301970633374,123,2946,-3.51135168866769,0.538453479765316,-0.359657288545646,0.0551521851728392
"3840","GAB","Gabon",76,323,73.2491842808571,311.309033193643,0.444923905057056,72,2675,-3.61949436729332,0.585426190864548,-0.437045488088129,0.0706888447286912
"3842","GBR","United Kingdom",76,323,73.1630871488253,310.943120382508,0.628275979542648,199,2982,-3.73278006733514,0.826678920450852,-0.404321918762324,0.0895430218999414
"3843","GEO","Georgia",59,250.75,55.2983060367289,235.017800656098,0.956037730273878,74,2440,-6.27405756486626,1.62040293266759,-0.644762268192711,0.166522965314098
"3845","GHA","Ghana",61,259.25,58.2471006408562,247.550177723639,0.442889135788569,76,2966,-4.51294976908819,0.726047763587819,-0.394464675534766,0.0634618620061167
"3846","GIN","Guinea",51,216.75,48.2210307427969,204.939380656887,0.428853408783949,80,2511,-5.44895932784928,0.840889036831273,-0.470355210797026,0.0725857024026995
"3847","GMB","Gambia",64,272,61.7424871278537,262.405570293378,0.530953076201551,73,2728,-3.52736386272854,0.829614181564923,-0.351701968717801,0.0827181295401976
"3848","GNB","Guinea-Bissau",41,174.25,38.811500196057,164.948875833242,0.361520508166682,81,2241,-5.33780439986088,0.881757336991908,-0.41504347018106,0.0685614529097902
"3850","GRC","Greece",79,335.75,74.8013870953008,317.905895155029,0.723215391050431,77,2897,-5.31469987936605,0.915462520317002,-0.61595115101731,0.106098219260074
"3851","GRD","Grenada",59,250.75,56.7595288051156,241.227997421741,0.345167534281273,78,2240,-3.79740880488886,0.585029719120802,-0.425089400815126,0.0654893759239023
"3853","GTM","Guatemala",50,212.5,47.8517909346081,203.370111472084,1.30005407171046,79,2364,-4.2964181307839,2.60010814342092,-0.386205098473594,0.233723765007168
"3857","GUY","Guyana",60,255,57.2838891314057,243.456528808474,0.530061746443669,82,2438,-4.52685144765724,0.883436244072782,-0.473481180948564,0.0924020681864477
"3859","HIGHIN","HIGHIN",78.3039875701437,332.791947173111,75.4222735355783,320.544662526208,0.517963370779465,NA,3020.85371520523,-3.680162561305,0.661477642266277,-0.40542461838708,0.0728715963547799
"3860","HKG","China, Hong Kong SAR",98,416.5,95.4246616054745,405.554811823267,0.304757647299482,42,2847,-2.62789632094435,0.310977191121921,-0.384446370802008,0.0454942044616368
"3862","HND","Honduras",52,221,49.4112095026442,209.997640386238,1.16424749079787,84,2433,-4.97844326414568,2.2389374823036,-0.452213712032962,0.203372455235962
"3864","HRV","Croatia",58,246.5,55.0928412278749,234.144575218468,0.598389202732129,49,2676,-5.01234271056059,1.03170552195195,-0.461712435782206,0.0950356543950504
"3865","HTI","Haiti",39,165.75,37.2197357830076,158.183877077782,0.544290663805772,83,2049,-4.56478004357015,1.39561708668147,-0.369259293422035,0.112895818505346
"3866","HUN","Hungary",61,259.25,58.3427548958987,247.956708307569,0.625465164971257,85,2682,-4.35613951492024,1.02535272946108,-0.421077244311362,0.0991136074246026
"3867","IDN","Indonesia",57,242.25,54.1545884662338,230.157000981494,0.568693431910302,88,2663,-4.99195005923894,0.997707775281231,-0.454111867011128,0.0907603111385198
"3869","IND","India",48,204,44.8377811777125,190.560570005278,0.522600662473833,87,2316,-6.58795587976573,1.08875138015382,-0.580286269202161,0.0959003806353105
"3873","IRL","Ireland",76,323,72.8792426505811,309.73678126497,0.683308361768229,91,3190,-4.106259670288,0.899089949695038,-0.415774881975869,0.0910363804863628
"3874","IRN","Iran (Islamic Republic of)",75,318.75,69.7375661122905,296.384655977235,0.943462441861098,89,2855,-7.01657851694605,1.25794992248146,-0.783374571725587,0.14044537225603
"3875","IRQ","Iraq",54,229.5,50.1323115240761,213.062323977323,0.895678339778324,90,2418,-7.16238606652575,1.65866359218208,-0.679804632865037,0.157428988588002
"3876","ISL","Iceland",93,395.25,90.5046963276257,384.644959392409,0.544503725550728,86,2694,-2.6831222283595,0.585487876936267,-0.393654068581697,0.0858998082253376
"3877","ISR","Israel",98,416.5,94.1685072849788,400.21615596116,0.837117776188992,92,3250,-3.9096864438992,0.854201812437747,-0.501041355041235,0.109469247655484
"3878","ITA","Italy",87,369.75,82.8160695974555,351.968295789186,0.850278305959351,93,3136,-4.8091154052236,0.977331386160173,-0.567018629171373,0.115232232153292
"3879","JAM","Jamaica",64,272,60.9738302006978,259.138778352966,0.486158096931889,94,2601,-4.72839031140968,0.759622026456076,-0.494472189428463,0.0794375975378903
"3881","JOR","Jordan",69,293.25,65.1448772624803,276.865728365541,0.935108010736886,96,2953,-5.58713440220253,1.35522900106795,-0.554834799676902,0.134582087559491
"3882","JPN","Japan",73,310.25,70.5951870941273,300.029545150041,0.365050348513179,95,2506,-3.29426425462008,0.500068970565999,-0.407839379487582,0.0619099753065049
"3884","KAZ","Kazakhstan",64,272,60.6046812406465,257.569895272748,0.570763402493733,97,2570,-5.30518556148987,0.891817816396458,-0.561482674212158,0.0943869439921543
"3885","KEN","Kenya",52,221,49.582012048035,210.723551204149,1.12866122075093,98,1998,-4.64997683070183,2.17050234759794,-0.514336776569123,0.240080589999572
"3886","KGZ","Kyrgyzstan",61,259.25,57.0548611890891,242.483160053629,0.868786309401373,101,2410,-6.46744067362445,1.42423985147766,-0.695719499849434,0.153209203940076
"3887","KHM","Cambodia",62,263.5,58.955931763871,250.562709996452,0.593495177527582,32,2388,-4.90978747762741,0.957250286334809,-0.541762562962657,0.1056262355315
"3888","KIR","Kiribati",71,301.75,68.4864813612498,291.067545785312,0.382302325112007,99,2946,-3.5401670968312,0.538453979030997,-0.36260876492492,0.0551522363111348
"3889","KNA","Saint Kitts and Nevis",65,276.25,63.1164741270865,268.245015040118,0.344652948103441,158,2216,-2.89773211217462,0.530235304774525,-0.361235783388195,0.0660999562021492
"3890","KOR","Republic of Korea",87,369.75,82.9738547067525,352.638882503698,0.445302887302311,153,3216,-4.62775321062927,0.511842399198059,-0.532062111203413,0.058847551960038
"3892","KWT","Kuwait",83,352.75,79.0174691382719,335.824243837656,0.662299356241138,100,3170,-4.79822995388929,0.797951031615829,-0.533935525626007,0.0887940777294901
"3894","LAO","Lao People's Democratic Republic",61,259.25,56.9429927692129,242.007719269155,0.628903088847092,103,2335,-6.6508315258805,1.03098867024113,-0.738427440293156,0.114468442295509
"3895","LBN","Lebanon",65,276.25,61.2529005683966,260.324827415686,0.697301759741633,106,2928,-5.76476835631289,1.07277193806405,-0.543892506294888,0.101213540946104
"3896","LBR","Liberia",35,148.75,32.8388582322715,139.565147487154,0.34389504858724,108,2229,-6.17469076493852,0.982557281677828,-0.412061575273487,0.0655699397261449
"3897","LBY","Libya",62,263.5,57.7369602540342,245.382081079646,0.851143103903709,109,2911,-6.8758705580093,1.37281145790921,-0.622395016157833,0.12426513883857
"3898","LCA","Saint Lucia",72,306,69.7294471613971,296.350150435938,0.501035020417874,159,2432,-3.15354560917075,0.695881972802603,-0.396786577469674,0.0875575179595381
"3901","LDC","Least Developed Countries",53,225.25,50.7132642225165,215.531372945695,0.517058132610414,105,2232,-4.31459580657259,0.9755813822838,-0.435422359063833,0.0984541695158718
"3907","LIFDC","Low Income Food Deficit Countries",52,221,49.3533328835797,209.751664755214,0.491511304503024,111,2389,-5.08974445465444,0.9452140471212,-0.4708386456587,0.0874392232791064
"3908","LKA","Sri Lanka",54,229.5,50.8972601367132,216.313355581031,0.477644328822399,180,2396,-5.7458145616422,0.884526534856295,-0.550360785432759,0.0847240566567277
"3909","LLDC","Land Locked Developing Countries",57,242.25,54.5069100034497,231.654367514661,0.639784009159242,102,2241,-4.37384209921102,1.12242808624429,-0.472808232277495,0.121333424316233
"3912","LSO","Lesotho",72,306,68.7928910055346,292.369786773522,2.25639026414099,107,2548,-4.45431804786867,3.13387536686248,-0.534937724744039,0.376360228516452
"3913","LTU","Lithuania",88,374,84.1751140948139,357.744234902959,0.76296084468241,110,3034,-4.34646125589332,0.867000959866375,-0.535786588564306,0.106874871123937
"3914","LUX","Luxembourg",84,357,80.1030764105459,340.43807474482,0.533612976855888,112,3107,-4.63919474935016,0.635253543876057,-0.533051987614422,0.0729917976066148
"3915","LVA","Latvia",67,284.75,63.7671025679978,271.010185913991,0.47590224777815,104,2883,-4.82522004776444,0.710301862355448,-0.476580440028068,0.0701555516148852
"3916","MAC","China, Macao SAR",76,323,73.9663091543595,314.356813906028,0.308617355919759,43,2536,-2.67590900742166,0.406075468315472,-0.340819640929495,0.0517201799155747
"3918","MAFR","Middle Africa",59,250.75,56.9485912251556,242.031512706911,0.521334270738101,124,2328,-3.47696402516008,0.883617408030679,-0.37450546791619,0.0951748561270158
"3919","MAR","Morocco",87,369.75,81.2912946203177,345.48800213635,1.17920423144521,127,3202,-6.56173032147388,1.3554071625807,-0.757713862075254,0.15651523996384
"3924","MDA","Republic of Moldova",54,229.5,51.4217528072453,218.542449430793,0.993153223733837,154,2436,-4.7745318384346,1.83917263654414,-0.449817346847595,0.173271806275403
"3925","MDG","Madagascar",44,187,41.4914308643557,176.338581173512,0.493585968241349,113,2035,-5.70129349010068,1.12178629145761,-0.52390264503628,0.103083064620429
"3926","MDV","Maldives",90,382.5,87.4420938818277,371.628898997768,0.386262079745187,116,2388,-2.84211790908037,0.429180088605764,-0.455238735436866,0.0687442981121041
"3928","Melanesia","Melanesia",60,255,57.5987080765796,244.794509325463,0.453359655804429,121,2652,-4.00215320570061,0.755599426340715,-0.384822423625059,0.0726537909942995
