"","countrycode","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","irrelevantcolumn","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"4019","SVN","Slovenia",52.7426955702168,224.156456173421,48.806031561805,207.425634137671,0.672030405765554,169,2122,-7.4639037042975,1.27416772787215,-0.788445901778975,0.134596099175476
"4020","SWE","Sweden",44.8605996843766,190.657548658601,41.0514143784163,174.468511108269,0.475945112755603,184,1901,-8.49116002184649,1.06094237728471,-0.851606394020601,0.106405403956408
"4021","SWZ","Swaziland",43.0331125827815,182.890728476821,40.4896408080031,172.080973434013,1.03909947053012,183,1963,-5.91049919962354,2.4146509702993,-0.550675244157318,0.224970593466786
"4022","SXM","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4023","SYC","Seychelles",48.3095114345114,205.315423596674,45.0673448388957,191.536215565307,0.555261236637256,NA,1924,-6.71123863467508,1.14938284439074,-0.716175053605343,0.1226538594443
"4024","SYR","Syrian Arab Republic",55.6844121026427,236.658751436231,51.4976048812158,218.864820745167,0.939362322830903,186,2611,-7.5188137278155,1.68693946359599,-0.681498685984838,0.152902714363513
"4025","SouAfr","Southern Africa",52.1585677749361,221.673913043478,49.1210912706956,208.764637900456,1.28926816796421,176,2346,-5.82354277315881,2.47182432908702,-0.550267482652253,0.233563073906561
"4026","SouAm","South America",45.8586858685869,194.899414941494,42.7346317419661,181.622184903356,0.517352328588449,175,2222,-6.81234986884082,1.12814468794631,-0.59753510522675,0.0989535281953604
"4027","SouAs","Southern Asia",49.4950090744102,210.353788566243,45.9632695440049,195.343895562021,0.542356821984883,177,2204,-7.13554678835524,1.09578083149659,-0.68102962814075,0.104583325473492
"4028","SouCeAs","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4029","SouEAs","South-Eastern Asia",44.1039130434783,187.441630434783,40.8878713360007,173.773453178003,0.499682572921603,173,2300,-7.29196455721989,1.13296652936216,-0.594268576381715,0.0923326493442092
"4030","SouEur","Southern Europe",54.0685413005273,229.791300527241,49.448944522101,210.158014218929,0.684003173693798,178,2276,-8.54396413757364,1.26506681564041,-0.862622421279063,0.127724669956003
"4031","StKiN","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4032","TCA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4033","TCD","Chad",54.1835147744946,230.279937791602,53.3522328882574,226.746989775094,0.471554153334535,39,1929,-1.53419705180972,0.870290816860236,-0.183149197330638,0.103893475980911
"4034","TGO","Togo",48.8525243578388,207.623228520815,46.7123773012739,198.527603530414,0.944264022407204,191,2258,-4.38083207510124,1.93288685655338,-0.402817758653702,0.177729056476112
"4035","THA","Thailand",38.4202898550725,163.286231884058,35.454060096547,150.679755410325,0.368151930612347,188,2277,-7.72047730434761,0.958222678696792,-0.553644113910105,0.068715226398879
"4036","TJK","Tajikistan",43.0327004219409,182.888976793249,39.3967543329896,167.436205915206,0.755917720751304,187,1896,-8.44926312618185,1.75661232815844,-0.815019561078235,0.169443581919464
"4037","TKM","Turkmenistan",61.4958563535911,261.357389502762,56.3282439947527,239.395036977699,1.11778692258564,195,2172,-8.40318789793822,1.81766217899064,-1.01115803522392,0.21871981680428
"4038","TLS","Timor-Leste",42.4426318651441,180.381185426862,40.1580147792195,170.671562811683,0.929237351974526,190,1839,-5.38283557245864,2.18939615933115,-0.527983828992917,0.214750339635222
"4039","TON","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4040","TTO","Trinidad and Tobago",44.4961900493052,189.108807709547,41.3274267048113,175.641563495448,0.554376012286936,192,2231,-7.12142621870041,1.24589546132522,-0.603641605293567,0.105607263658426
"4041","TUN","Tunisia",73.050559891415,310.464879538514,66.9753809031515,284.645368838394,1.26865510459292,193,2947,-8.31640304645695,1.73668087757122,-0.876128629118415,0.182958404971833
"4042","TUR","Turkey",74.2939462609258,315.749271608935,68.2540281567172,290.079619666048,1.1438813154464,194,3089,-8.12975808687836,1.53966961376504,-0.831002005273125,0.157380886715675
"4043","TUV","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4044","TWN","China, Taiwan Province of",52.992547741034,225.218327899394,49.6565892358491,211.040504252359,0.38425407269768,45,2147,-6.29514648264731,0.725109641030031,-0.660355083699853,0.0760633353034531
"4045","TZA","United Republic of Tanzania",48.385363357216,205.637794268168,46.080457219904,195.841943184592,0.806232764585982,200,1954,-4.76364333630281,1.66627407266488,-0.501322982782788,0.17535768932909
"4046","UGA","Uganda",42.6656519533232,181.329020801623,40.4821340768968,172.049069826811,0.573401082962198,196,1971,-5.11774173476875,1.34394075025387,-0.470824504049328,0.123640517635177
"4047","UKR","Ukraine",54.9436741767764,233.5106152513,50.346952242123,213.974547029023,0.668416579608188,197,2308,-8.36624416464015,1.21654874673582,-0.846450096285838,0.123083642258873
"4048","UMC","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4049","URY","Uruguay",46.4940047961631,197.599520383693,43.1822349777028,183.524498655237,0.613649205937987,202,2085,-7.12300399369682,1.31984587825532,-0.675060994170559,0.125084370514937
"4050","USA","United States of America",44.0598221503638,187.254244139046,40.863137141089,173.668332849628,0.50853521778369,201,2474,-7.25532889888969,1.15419262485491,-0.549147586476054,0.0873595260946112
"4051","UZB","Uzbekistan",59.2495274102079,251.810491493384,53.8579295238248,228.896200476255,1.01902278011188,203,2116,-9.09981585009955,1.71988338920711,-1.08290600269983,0.204671399597141
"4052","VAT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4053","VCT","Saint Vincent and the Grenadines",47.9502991256328,203.788771283939,43.9846246229992,186.934654647747,0.452832578529633,160,2173,-8.27038532594601,0.9443790482791,-0.775615123616778,0.0885659668086028
"4054","VCT","Saint Vincent and the Grenadines",47.9502991256328,203.788771283939,43.9846246229992,186.934654647747,0.452832578529633,160,NA,-8.27038532594601,0.9443790482791,NA,NA
"4055","VCT","",NA,NA,NA,NA,NA,NA,2173,NA,NA,NA,NA
"4056","VCT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4057","VEN","Venezuela (Bolivarian Republic of)",42.0256058527663,178.608824874257,39.1253267429642,166.282638657598,0.644637713446357,205,2187,-6.90121903289884,1.53391652628352,-0.563611623989904,0.125272532334111
"4058","VGB","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4059","VIR","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4060","VNM","Viet Nam",57.296511627907,243.510174418605,53.0604389977796,225.506865740563,0.534752082464836,206,2064,-7.39324700539728,0.933306526473382,-0.872253327424477,0.110111257290482
"4061","VUT","Vanuatu",44.055389859395,187.235406902429,41.2725120549628,175.408176233592,0.331868851986686,204,2347,-6.31677035049253,0.753299092451258,-0.503929725983668,0.0600955526605631
"4062","WLD","World",54.020202020202,229.585858585859,50.2345186624475,213.496704315402,0.530504594870843,210,2277,-7.00790299958298,0.982048520796811,-0.706594390446058,0.0990182050154186
"4063","WLF","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4064","WSM","Samoa",42.7946257197697,181.877159309021,39.9865886591125,169.943001801228,0.324032843021572,161,2084,-6.56165818354147,0.757181159016142,-0.572656310354758,0.0660815538791594
"4065","WeAf","Western Africa",53.023538961039,225.350040584416,50.629029129669,215.173373801093,0.567603163707154,207,2464,-4.51593740872228,1.07047393446187,-0.413014073998477,0.0979023314024108
