plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,1,C3_cereal,wheat,315,695,GC,0,pots,0.932186537,3,0.039780702,0.001582504,100,93.21865367,,,NA,1,,default,1-695NANAambientlow,Wolf_1996,,,Zwolf,1,ok,
1,1,C3_cereal,wheat,315,695,GC,0,pots,0.829533333,3,0.093980061,0.008832252,100,82.95333333,,,NA,2,,default,1-695NANAambientmedium,Wolf_1996,,,Zwolf,1,ok,
1,1,C3_cereal,wheat,315,695,GC,0,pots,0.740041068,3,0.134432355,0.018072058,100,74.00410678,,,NA,1,,default,1-695NANAambientvery_low,Wolf_1996,,,Zwolf,1,ok,
2,2,C3_cereal,rice,390,550,OTC,1,field,0.948259342,2,0.058686815,0.003444142,9.393,8.907,0.4,0.4,NA,2,,default,"2-Cuttack,_India2009550NANAambientNA",roy_et_al_2012_rice,"Cuttack,_India",2009,Indi,1,ok,
2,2,C3_cereal,rice,390,550,OTC,1,field,0.93869969,2,0.056617247,0.003205513,9.69,9.096,0.4,0.4,NA,2,,default,"2-Cuttack,_India2010550NANAambientNA",roy_et_al_2012_rice,"Cuttack,_India",2010,Indi,2,ok,
2,2,C3_cereal,rice,390,550,OTC,1,field,0.929227663,2,0.027563605,0.000759752,9.905,9.204,0.2,0.2,NA,2,,default,"2-Cuttack,_India2011550NANAambientNA",roy_et_al_2012_rice,"Cuttack,_India",2011,Indi,3,ok,
2,2,C3_cereal,rice,390,650,tunnel,1,field,0.916513986,3,0.023469428,0.000550814,85.691,78.537,0.75,1.89,wet,2,,default,"2-Chonnam_National_University,_Gwangju,_Korea2009650wetNAambientNA",lee_et_al_2013_rice,"Chonnam_National_University,_Gwangju,_Korea",2009,Kore,1,ok,
2,2,C3_cereal,rice,390,650,tunnel,1,field,0.975618534,3,0.035322205,0.001247658,77.805,75.908,2.71,0.75,NA,2,,default,"2-Chonnam_National_University,_Gwangju,_Korea2009650NANAambientNA",lee_et_al_2013_rice,"Chonnam_National_University,_Gwangju,_Korea",2009,Kore,1,ok,
2,2,C3_cereal,rice,380,622,tunnel,0,pots,0.791666667,3,0.055453472,0.003075088,1,0.791666667,,,NA,2,,default,"2-Chonnam_National_University,_South_Korea622NANAambientNA",Kim_et_al_2011,"Chonnam_National_University,_South_Korea",,Kore,1,ok,
2,2,C3_cereal,rice,390,650,tunnel,1,field,0.899739288,3,0.037706676,0.001421793,92.439,83.171,1.4,3.25,wet,2,,default,"2-Chonnam_National_University,_Gwangju,_Korea2010650wetNAambientNA",lee_et_al_2013_rice,"Chonnam_National_University,_Gwangju,_Korea",2010,Kore,2,ok,
