plantorder,plantnumber,type,plant,paircount,CO2_quant,CO2_qual,facility,field01,fieldpots,replicate_facilities,N_est,SE_est,Var,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude
15,54,oilcrop,soybean,108,550,1,FACE,1,field,4,6.6675,0.101601755,0.010322917,dry,1,,clark,54-Champaign_Illinois2002550dryclarkambientlow,,Champaign_Illinois,2002,Illn,2,
12,31,pulses,Beans_adzuki,109,700,1,OTC,0,pots,2,3.35,,,NA,2,,adzuki,31-Tohoku_uni_Sendai_Japan2003700NAadzukiambientNA,Miyagi_et_al_2007,Tohoku_uni_Sendai_Japan,2003,Toho,1,
12,33,pulses,broad_bean,110,695,1,GC,0,pots,3,96,,,NA,1,,default,33-695NAambientlow,wolf_1996_faba_bean,,,Zwolf,1,no_SE
15,54,oilcrop,soybean,111,550,1,FACE,1,field,4,6.3175,0.07983055,0.006372917,dry,1,,loda,54-Champaign_Illinois2004550drylodaambientlow,,Champaign_Illinois,2004,Illn,3,
20,84,vegetable,cassava_leaves,112,585,1,FACE,1,field,4,4.219,0.08,0.0064,NA,2,harvest_1,default,84-Champaign_Illinois2010585NANAambientNAharvest_1,Rosenthal_et_al_2012,Champaign_Illinois,2010,Illn,7,P_values_only
12,31,pulses,red_kidney_bean,113,696,1,GC,0,pots,2,93.86694387,,,NA,2,,default,"31-Florida,_USA2000696NANAlowNA",Thomas_et_al_2009,"Florida,_USA",2000,Flori,3,
1,1,C3_cereal,wheat,114,550,1,FACE,1,field,4,13.143455,0.258848152,0.067002366,wet,1,TOS_2_maybe,yitpi,"1-Walpeup,_Australia2009550wetyitpiambientlowTOS_2_maybe",,"Walpeup,_Australia",2009,Walp,2,
1,1,C3_cereal,wheat,115,800,1,GC,0,pots,1,4.018,0.138,0.019044,dry,2,,alcedo,1-Berlin800dryalcedoambientmedium,Mueller_et_al_1993,Berlin,,Berl,1,no_samplesize
1,1,C3_cereal,wheat,116,550,1,GH,0,pots,1,16.5,,,NA,3,,default,1-550NANAambienthigh,Rogers_et_al_1996,,,Zrog96,1,
3,3,C3_cereal,barley,117,550,1,FACE,1,field,2,82.4,,,NA,1,,theresa,"3-Braunschweig,_Germany2002/2003550NAtheresaambientlow",Wroblewitz_et_al_2013_,"Braunschweig,_Germany",2002/2003,Brau,6,"1998_is_pot,_1999_is_field_grown"
1,1,C3_cereal,wheat,118,550,1,FACE,1,field,4,13.84988,0.145392235,0.021138902,dry,2,TOS2,yitpi,"1-Horsham,_Australia2007550dryyitpiambientmediumTOS2",,"Horsham,_Australia",2007,Hors,1,
15,54,oilcrop,soybean,119,707,1,OTC,1,field,3,71.02,,,NA,2,,default,"54-Auburn,_Alabama,_USA1994707NANAambientNA",Prior_et_al_2003_2008,"Auburn,_Alabama,_USA",1994,Alab,3,
2,2,C3_cereal,rice,120,560,1,FACE,1,field,4,0.94,,,NA,1,,default,"2-Tsukubamirai,_Japan2011560NANAambientlow",zhang_et_al_2013_rice,"Tsukubamirai,_Japan",2011,Tsuk,2,no_SE
2,2,C3_cereal,rice,121,560,1,FACE,1,field,4,0.94,,,NA,2,,default,"2-Tsukubamirai,_Japan2011560NANAambientmedium",zhang_et_al_2013_rice,"Tsukubamirai,_Japan",2011,Tsuk,2,no_SE
