plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.952193689,4,0.089121528,0.178243056,15.607751,14.861602,0.922436494,1.078594348,dry,2,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientmediumTOS1_maybe",,"Horsham,_Australia",2008,Hors,2,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.938708868,4,0.037024301,0.074048602,15.285735,14.348855,0.161587298,0.54523789,wet,1,TOS1_maybe,yitpi,"1-Horsham,_Australia2009550wetyitpiambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.906820129,4,0.058682443,0.117364886,15.715465,14.2511,0.195446079,0.905031017,wet,2,TOS1_maybe,yitpi,"1-Horsham,_Australia2009550wetyitpiambientmediumTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.936341369,4,0.034541337,0.069082674,14.474785,13.55334,0.205487631,0.461473873,dry,1,TOS1_maybe,zebu,"1-Horsham,_Australia2009550dryzebuambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.970744118,4,0.055911075,0.11182215,17,16.50265,0.230589995,0.923754233,wet,2,TOS_2_maybe,yitpi,"1-Horsham,_Australia2009550wetyitpiambientmediumTOS_2_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.984002617,4,0.063351943,0.126703886,14.610515,14.376785,0.233356766,0.896669776,dry,1,TOS1_maybe,hartog,"1-Horsham,_Australia2009550dryhartogambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.997834271,4,0.045230382,0.090460764,14.366985,14.33587,0.267356075,0.592538194,wet,1,TOS1_maybe,drysdale,"1-Horsham,_Australia2009550wetdrysdaleambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.923620778,4,0.044809292,0.089618584,16.07047,14.84302,0.286079021,0.669877971,dry,2,TOS1_maybe,yitpi,"1-Horsham,_Australia2009550dryyitpiambientmediumTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.959578396,4,0.037158271,0.074316542,14.51031,13.92378,0.312606559,0.448029734,wet,1,TOS1_maybe,hartog,"1-Horsham,_Australia2009550wethartogambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.936228721,4,0.028183677,0.056367354,14.902555,13.9522,0.327825839,0.286718536,wet,1,TOS1_maybe,janz,"1-Horsham,_Australia2009550wetjanzambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
