plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,plants_per_rep,SE,SD,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,exclude
1,1,C3_cereal,wheat,380,550,FACE,1,field,-3.443100484,4,123456,2.486488409,4.972976818,13.81458375,13.33893375,0.20283905,0.282190845,wet,medium,TOS2,yitpi,"1-Horsham,_Australia2007550wetyitpiambientmediumTOS2",,"Horsham,_Australia",2007,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-3.59116694,4,123456,6.675321452,13.3506429,15.92487,15.35298133,0.439081221,0.975116471,dry,low,TOS_2_maybe,janz,"1-Horsham,_Australia2008550dryjanzambientlowTOS_2_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-5.646874767,4,123456,7.032532774,14.06506555,16.742978,15.797523,0.754403801,0.937942931,dry,low,TOS1_maybe,janz,"1-Horsham,_Australia2008550dryjanzambientlowTOS1_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.628563002,4,123456,6.428105012,12.85621002,14.98736,15.081565,0.640123901,0.716393623,dry,low,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientlowTOS_2_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-2.997883098,4,123456,8.14639705,16.2927941,14.780563,14.337459,0.782658813,0.934579437,dry,low,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientlowTOS1_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,8.427518783,4,123456,3.069373661,6.138747322,15.19166,16.47194,0.144259646,0.439270906,dry,medium,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientmediumTOS_2_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-4.780631111,4,123456,8.912152807,17.82430561,15.607751,14.861602,0.922436494,1.078594348,dry,medium,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550dryyitpiambientmediumTOS1_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-3.11754079,4,123456,2.813688805,5.627377611,17.271434,16.73299,0.450923792,0.212860165,wet,low,TOS_2_maybe,janz,"1-Horsham,_Australia2008550wetjanzambientlowTOS_2_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-11.39341969,4,123456,4.431349921,8.862699843,17.130467,15.178721,0.638449529,0.50618528,wet,low,TOS1_maybe,janz,"1-Horsham,_Australia2008550wetjanzambientlowTOS1_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,2.178076083,4,123456,4.094399094,8.188798189,15.455888,15.792529,0.373940226,0.504459634,wet,low,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientlowTOS_2_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-14.67791838,4,123456,5.038177537,10.07635507,16.308273,13.914558,0.858984907,0.371407982,wet,low,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientlowTOS1_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-5.913095314,4,123456,4.37573643,8.751472861,16.131213,15.177359,0.383266068,0.606797156,wet,medium,TOS_2_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientmediumTOS_2_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-11.6801808,4,123456,4.967687634,9.935375267,16.733217,14.778747,0.610093952,0.632962232,wet,medium,TOS1_maybe,yitpi,"1-Horsham,_Australia2008550wetyitpiambientmediumTOS1_maybe",,"Horsham,_Australia",2008,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-7.768401085,4,123456,5.569018526,11.13803705,16.179005,14.922155,0.599172483,0.711636384,dry,low,TOS_2_maybe,drysdale,"1-Horsham,_Australia2009550drydrysdaleambientlowTOS_2_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-6.627431504,4,123456,5.853185798,11.7063716,15.10125,14.100425,0.621762762,0.666514489,dry,low,TOS1_maybe,drysdale,"1-Horsham,_Australia2009550drydrysdaleambientlowTOS1_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-12.24522146,4,123456,4.854897507,9.709795015,17.726915,15.556215,0.846697917,0.43427794,dry,low,TOS_2_maybe,gladius,"1-Horsham,_Australia2009550drygladiusambientlowTOS_2_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,1.214445141,4,123456,6.550524889,13.10104978,14.72689,14.90574,0.679440026,0.676538654,dry,low,TOS1_maybe,gladius,"1-Horsham,_Australia2009550drygladiusambientlowTOS1_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-13.54040794,4,123456,4.532450843,9.064901685,16.993875,14.692835,0.474954412,0.651644044,dry,low,TOS_2_maybe,h45,"1-Horsham,_Australia2009550dryh45ambientlowTOS_2_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-5.380337688,4,123456,6.344695628,12.68939126,13.40585,12.68457,0.533233255,0.684754561,dry,low,TOS1_maybe,h45,"1-Horsham,_Australia2009550dryh45ambientlowTOS1_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-8.180559796,4,123456,7.392882424,14.78576485,16.24736,14.918235,0.847813665,0.914746175,dry,low,TOS_2_maybe,hartog,"1-Horsham,_Australia2009550dryhartogambientlowTOS_2_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-1.599738271,4,123456,6.335194305,12.67038861,14.610515,14.376785,0.233356766,0.896669776,dry,low,TOS1_maybe,hartog,"1-Horsham,_Australia2009550dryhartogambientlowTOS1_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-10.93956754,4,123456,7.146044896,14.29208979,16.61094,14.793775,0.829990286,0.928774836,dry,low,TOS_2_maybe,janz,"1-Horsham,_Australia2009550dryjanzambientlowTOS_2_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-6.716240666,4,123456,4.099301828,8.198603655,15.262705,14.237625,0.535977636,0.376132668,dry,low,TOS1_maybe,janz,"1-Horsham,_Australia2009550dryjanzambientlowTOS1_maybe",,"Horsham,_Australia",2009,
1,1,C3_cereal,wheat,380,550,FACE,1,field,-7.262761666,4,123456,3.535513375,7.071026749,17.2548,16.001625,0.333794435,0.525674377,dry,low,TOS_2_maybe,silverstar,"1-Horsham,_Australia2009550drysilverstarambientlowTOS_2_maybe",,"Horsham,_Australia",2009,
