country,max protein,source main protein,source.meatorveg,simplified.source.protein,source main veg protein,source main carbs,av age boysandgirls,FBS order,Pop order
Eastern Europe,28,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,39.05700991,60,63
Ecuador,17,Milk - Excluding Butter,m,animals,Wheat and productsRice (Milled Equivalent),Rice (Milled Equivalent),28.31699055,61,64
Egypt,35,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,27.65300108,62,65
El Salvador,18,Maize and products,v,Maize and products,Maize and products,Rice (Milled Equivalent),27.58752258,63,66
Estonia,23,Wheat and productsMilk - Excluding Butter,b,NA,Wheat and products,Wheat and products,40.50180165,64,69
Ethiopia,9,"Maize and productsPulses, Other and productsWheat and products",v,mix,"Maize and productsPulses, Other and productsWheat and products",Maize and products,21.87337649,65,70
Europe,25,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,40.18695244,66,71
European Union,25,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,,67,
Fiji,17,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,28.67315082,68,72
Finland,30,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,40.9018094,69,73
France,26,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,39.8440081,70,74
French Polynesia,17,Poultry Meat,m,animals,Wheat and products,Wheat and products,31.61259396,71,76
Gabon,13,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,24.69541878,72,77
Gambia,13,Millet and productsRice (Milled Equivalent),v,mix,Millet and productsRice (Milled Equivalent),Wheat and products,20.75511412,73,78
Georgia,35,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,37.77751731,74,79
Germany,24,Milk - Excluding Butter,m,animals,Wheat and products,Rice (Milled Equivalent),43.04091149,75,80
Ghana,7,YamsPelagic Fish,b,NA,Yams,Wheat and products,23.70288149,76,81
Greece,28,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,41.8440945,77,82
Grenada,14,Poultry Meat,m,animals,Wheat and products,Cassava and products,28.98806806,78,83
Guatemala,21,Maize and products,v,Maize and products,Maize and products,Wheat and products,23.28046457,79,86
