Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"FBS","Food Balance Sheets","11","Austria","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","252","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","53","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","21","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","11","Austria","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","100","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","10","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","162","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","27","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","9","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","12","Bahamas","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","14","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","56","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","8","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","194","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","22","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","10","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","14","Barbados","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","2","Fc","Calculated data"
