"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","BFP","EAR_1","EAR_2","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"187","LeDeREC",302,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","LeDeRELDR",303,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","LIC",304,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","LIE",305,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","LIFDC",306,"Low Income Food Deficit Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2763102000,"Low Income Food Deficit Countries",NA,NA,NA
"192","LKA",307,"Sri Lanka",0.609943385175549,0.549167531469926,3.61520701908737,3.65042999683669,3.54031455667905,3.56260845813693,3.51751228202146,3.57553753442837,3.59783143588624,3.55273525977078,1.57749075622162,37.1512403354333,30.2635072109106,31.8409979671322,0.4000475533421,0.448109914430362,0.433689404620406,0.462930391580027,0.048062361088262,0.0336418512783055,0.0628828382379273,20926000,"Sri Lanka",1005752.96813297,703989.379849821,1315886.27296687
"193","LLDC",308,"Land Locked Developing Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409625000,"Land Locked Developing Countries",NA,NA,NA
"194","LMC",309,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","LMY",310,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","LSO",311,"Lesotho",0.706933703858122,0.491300640723447,3.93959988479395,4.06878935583159,3.88648644607787,3.95477640214757,3.81318891669215,4.01567591711551,4.08396587318522,3.9423783877298,0.967264300155387,34.0763512097246,34.4359079443436,35.403172244499,0.298976767891004,0.325557564292273,0.29156661833846,0.363721154755286,0.0265807964012688,-0.00741014955254393,0.0647443868642817,2030000,"Lesotho",53959.0166945756,-15042.6035916642,131431.105334492
"197","LTU",312,"Lithuania",0.616697152751257,0.49050021908041,3.98989894162909,4.05976139827588,3.9030878788396,3.92773248375068,3.87782053798194,3.97295033548638,3.99759494039746,3.94768299462872,1.01119977334585,38.8602853889349,41.957131164215,42.9683309375608,0.354931788407938,0.408551912419827,0.393105598551438,0.424537207702517,0.053620124011889,0.0381738101435004,0.069605419294579,3044000,"Lithuania",163219.65749219,116201.078076815,211878.896332698
"198","LUX",313,"Luxembourg",0.57807108713588,0.427965586347602,3.95938425863107,4.03489007797338,3.85951208021944,3.8779934868711,3.84068266947911,3.93501789956175,3.95349930621341,3.91618848882141,0.982418327078541,38.2795414643237,41.3318733661355,42.3142916932141,0.35545084719381,0.421570505273304,0.409104868596808,0.434352142614454,0.0661196580794939,0.0536540214029974,0.0789012954206439,516000,"Luxembourg",34117.7435690189,27685.4750439467,40713.0684370523
