"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"102","FCS",218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","FIN",219,"Finland",0.556815831235897,0.427965586347602,4.21442591750956,4.2778705809181,4.16944058462025,4.18440210656082,4.15425181120957,4.23288524802879,4.24784676996936,4.21769647461811,28.4309649821264,32.2537030746365,0.0916916974786239,0.105719352715694,0.100891368375192,0.110789306033491,0.0140276552370699,0.00919967089656853,0.019097608554867,5389000,"Finland",494126.557712304,75595.0340725699,49577.0264616078,102917.012502178
"104","FJI",220,"Fiji",0.647646649767822,0.462930451198671,3.97993165054868,4.08250244070292,3.93816863506811,3.95953787196355,3.91633276412928,4.04073942522235,4.06210866211779,4.01890355428351,26.9196544215791,28.7451559850977,0.168635802171474,0.185370591494294,0.176682754842083,0.194517102584788,0.0167347893228203,0.00804695267060968,0.0258813004133137,868000,"Fiji",146375.876284839,14525.797132208,6984.7549180892,22464.9687587563
"105","FRA",221,"France",0.589129944626248,0.428936867281207,4.22091210884478,4.30245573661593,4.17989078494568,4.19678255314792,4.16270877519778,4.26143441271683,4.27832618091907,4.24425240296894,28.1430487200115,30.0135486808218,0.0821684585349447,0.0932503352546137,0.0885602111418007,0.0982067957853547,0.011081876719669,0.00639175260685608,0.0160383372504101,63582000,"France",5224434.93056885,704607.885589997,406400.414249123,1019749.55905557
"106","FRO",222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","FSM",223,"Micronesia",0.762043020194141,NA,3.97232509472801,NA,3.93658027608597,3.94745864262807,3.92558226798773,NA,NA,NA,25.9814354309401,32.2210657111011,0.255994636398909,0.271316314142194,0.266605445483525,0.276120793427099,0.0153216777432847,0.0106108090846152,0.0201261570281894,99000,"Micronesia",25343.469003492,1516.84609658519,1050.4700993769,1992.48954579075
"108","GAB",224,"Gabon",0.639435182046081,0.442229333653903,4.12629466426718,4.23294994851434,4.0894284357185,4.10126338924687,4.07745173684122,4.19608371996567,4.20791867349404,4.18410702108838,25.2240424167083,25.4761787218113,0.0823271627589226,0.0914411626862544,0.088437269709732,0.094557358426293,0.00911399992733186,0.00611010695080945,0.0122301956673704,1594000,"Gabon",131229.497437723,14527.715884167,9739.51047959026,19494.9318937884
"109","GBR",225,"United Kingdom",0.60747335777287,0.428936867281207,4.14622140008441,4.23873992222982,4.10817907965334,4.12487018263204,4.09120464799853,4.20069760179875,4.21738870477746,4.18372317014395,28.2679549966379,33.5504526432693,0.148635709410517,0.163622365484969,0.156930147841622,0.170615431204382,0.0149866560744517,0.00829443843110425,0.0219797217938648,62672000,"United Kingdom",9315297.18017595,939243.709498036,519829.045354166,1377513.1242651
"110","GEO",226,"Georgia",0.64329488194742,0.590971596703205,3.87062329133585,3.90291372985075,3.80582812324202,3.83915256401639,3.7713547671713,3.83811856175693,3.8714430025313,3.80364520568621,28.3221671501004,31.6656498911288,0.259229131266812,0.292876802177901,0.275319584609096,0.311567842181967,0.0336476709110892,0.0160904533422838,0.0523387109151552,4374000,"Georgia",1133868.22016103,147174.912565104,70379.6429191492,228929.521542889
"111","GHA",227,"Ghana",0.647228579012043,0.492099133457855,3.90142144742834,3.98979308559833,3.85524190005615,3.87003504577362,3.84022662710635,3.94361353822613,3.95840668394361,3.92859826527634,25.6769404772068,25.6769404772068,0.155461617344686,0.173112438806405,0.167324208052509,0.179116392965213,0.0176508214617196,0.0118625907078236,0.0236547756205271,24821000,"Ghana",3858712.80411245,438111.039501343,294441.36395889,587135.185677102
