"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_amb_SOFI_EAR2","Def_CO2_HHS_EAR2","Def_CO2_SOFI_EAR2","Def_CO2u_HHS_EAR2","Def_CO2u_SOFI_EAR2","Def_CO2l_HHS_EAR2","Def_CO2l_SOFI_EAR2","Difference_HHS2","Difference_SOFI2","DifferenceCIu_HHS2","DifferenceCIu_SOFI2","DifferenceCIl_HHS2","DifferenceCIl_SOFI2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficient_SOFI2","People_made_deficientCIu_HHS2","People_made_deficientCIu_SOFI2","People_made_deficientCIl_HHS2","People_made_deficientCIl_SOFI2"
"33","BOL",153,"Bolivia (Plurinational State of)",0.730960061902753,0.479085752531057,3.74018187918403,3.89257160609335,3.69815083559201,3.71582261958062,3.68016113304363,3.85054056250133,3.86821234648993,3.83255085995294,34.7300750526202,36.8330697178631,0.427388214600429,0.275141283479177,0.45005342650831,0.305164115755051,0.440499670205688,0.292364079064406,0.459808846656933,0.318443795632048,0.0226652119078809,0.030022832275874,0.0131114556052584,0.0172227955852289,0.032420632056504,0.0433025121528711,10324000,"Bolivia (Plurinational State of)",4412355.92753483,233995.647736962,309955.720416124,135362.667668688,177808.141621903,334710.605351348,447055.135466241
"34","BRA",154,"Brazil",0.720765414231563,0.523294052736822,4.08405403067749,4.20688708903882,4.04577255672433,4.06175907543397,4.02952631148999,4.16860561508566,4.18459213379531,4.15235936985132,36.2498014520891,37.9936161907425,0.267737911785516,0.138244830482279,0.285507732429762,0.15503287378462,0.27801901627802,0.147865053732105,0.293215115180147,0.162548421138283,0.0177698206442461,0.0167880433023413,0.0102811044925036,0.009620223249826,0.0254772033946316,0.0243035906560045,196935000,"Brazil",52726965.6574806,3499499.6285746,3306153.30774658,2024709.3132312,1894558.66570448,5017353.05052176,4786227.62584025
"35","BRB",155,"Barbados",NA,0.436600915721268,NA,4.16736969723699,NA,NA,NA,4.13588575151717,4.14938274391092,4.12220409506874,37.5452639196519,43.3632704532686,NA,0.181139551125117,NA,0.20075727450226,NA,0.192195787341086,NA,0.209665445083882,NA,0.0196177233771436,NA,0.011056236215969,NA,0.028525893958766,282000,"Barbados",NA,NA,5532.1979923545,NA,3117.85861290327,NA,8044.302096372
"36","BRN",156,"Brunei Darussalam",NA,0.435653040426273,NA,4.12461091935978,NA,NA,NA,4.08563859171521,4.09749793363863,4.07363691612916,35.9146847723384,35.4876518267035,NA,0.10116742071318,NA,0.117915752205487,NA,0.112623722264435,NA,0.123447992356441,NA,0.0167483314923073,NA,0.0114563015512546,NA,0.0222805716432612,407000,"Brunei Darussalam",NA,NA,6816.57091736906,NA,4662.71473136063,NA,9068.19265880732
"37","BTN",157,NA,0.623440534970185,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3180888729395,31.9927859950099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","BWA",158,"Botswana",0.761129388578963,0.472380727077439,3.60216132503133,3.78024852245352,3.56892000123959,3.59154181476824,3.54577457331021,3.74700719866178,3.76962901219043,3.7238617707324,35.0970211734039,36.1756739206934,0.492780596897443,0.342312937609553,0.510202369265464,0.368514957049254,0.498346372394244,0.350608546246811,0.522323383149029,0.387135911575452,0.0174217723680216,0.0262020194397011,0.00556577549680104,0.00829560863725853,0.0295427862515865,0.0448229739658997,1987000,"Botswana",979155.046035218,34617.0616952589,52063.4126266861,11059.1959121437,16483.3743622327,58701.5162819024,89063.2492702428
"39","CAA",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CAF",160,"Central African Republic",0.73102401130245,0.503851886924174,3.62462224556026,3.7648869361321,3.5942416048512,3.61605787677421,3.57193874800954,3.73450629542304,3.75632256734605,3.71220343858138,33.9651530585799,32.0426045985044,0.414678006579618,0.277230915390689,0.430945085831071,0.297781920467909,0.419250207513688,0.282953566426149,0.442963648478157,0.313297148803691,0.0162670792514533,0.0205510050772201,0.00457220093406996,0.00572265103546027,0.0282856418985388,0.0360662334130022,4436000,"Central African Republic",1839511.63718718,72160.7635594469,91164.2585225485,20282.2833435343,25385.6799933018,125475.107461918,159989.811420078
"41","CALACA",161,"CALACA",0.678019679657449,0.4968867132449,3.82925866351017,3.93566580361191,3.78923558572344,3.81920828592727,3.75833669072565,3.89564272582518,3.92561542602901,3.86474383082738,56.2684151462614,59.7628488324561,0.649929354971112,0.622242456281885,0.671536227623753,0.652442560227396,0.65540438932431,0.629905214720884,0.687838006800021,0.675124559781221,0.0216068726526408,0.0302001039455113,0.00547503435319863,0.00766275843899933,0.0379086518289095,0.0528821034993354,332749000,"CALACA",216263342.937282,7189665.26829358,10049054.3877649,1821812.20599249,2549775.20781859,12614065.9874178,17596467.0573004
"42","CAN",162,"Canada",0.588118724644867,0.428936867281207,4.25787498170436,4.33882338078681,4.22232312047389,4.23585162715546,4.20860908044163,4.30327151955633,4.3168000262379,4.28955747952407,37.9415628965093,42.007236109849,0.188285634205944,0.0805927674412104,0.205031907178759,0.0937163829715017,0.1985576648276,0.0885478704183389,0.211721340560067,0.0991797260486855,0.0167462729728153,0.0131236155302913,0.0102720306216563,0.00795510297712854,0.0234357063541232,0.0185869586074752,34487000,"Canada",6493406.66686038,577528.716013481,452594.128793156,354251.520049062,274347.636372232,808227.205034646,641008.441495997
"43","CANAME",163,"CANAME",0.58730166371063,0.486762555000405,4.13440014541696,4.18839287504033,4.06694854220893,4.09396349820049,4.0391834670486,4.1209412718323,4.14795622782387,4.09317619667197,20.6735419929984,22.190436667471,0.0390471359974304,0.0126536721416764,0.0497787977477873,0.01794785329436,0.0452276742582141,0.0156355373602392,0.0548296320126406,0.0206221050517974,0.0107316617503568,0.00529418115268357,0.0061805382607837,0.00298186521856282,0.0157824960152101,0.00796843291012106,525377000,"CANAME",20514467.168922,5638168.25541723,2781441.01145344,3247112.64983576,1566603.40293288,8291760.40898306,4186431.37702067
"44","CEA",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CEB",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CEEAEU",166,"CEEAEU",0.596543637774499,0.439413551080312,4.110978376018,4.19236839746611,4.05860088175158,4.07862302530981,4.03816964713525,4.13999090319969,4.16001304675792,4.11955966858336,20.0747172964674,21.7383256291777,0.0418329576980088,0.00564511937391454,0.0502951118598901,0.00788087149075489,0.0469119570948934,0.00694778249112995,0.053945016945955,0.00894493498951145,0.0084621541618813,0.00223575211684035,0.00507899939688468,0.00130266311721541,0.0121120592479462,0.00329981561559691,327740000,"CEEAEU",13710333.5559454,2773386.40501498,732745.398773255,1664591.26233498,426934.810036179,3969606.29792188,1081481.56985573
"47","Central America",167,"Central America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162800000,"Central America",NA,NA,NA,NA,NA,NA,NA
"48","Central Asia",168,"Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62575000,"Central Asia",NA,NA,NA,NA,NA,NA,NA
"49","CEU",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
